targ_direction;stroop_cong;trial_start;targ_pos;total_time;target_name;soa_onset;cue_pos;response;trial_number;congruent;SOA;cue_onset;fix_onset;rt;repetition;targ_onset;condition;Accuracy
-5;-1;0.0;5;2.725;Left;0.802;5;rctrl;1;1;3;0.752;0.0;0.827;1;0.852;practice;0
5;1;0.0;5;3.333;Right;0.802;-5;rctrl;2;-1;48;0.752;0.0;0.705;1;1.604;practice;1
5;-1;0.0;-5;3.566;Right;0.801;5;lctrl;3;-1;48;0.751;0.0;0.926;0;1.603;practice;0
-5;-1;0.0;5;3.312;Left;0.802;-5;lctrl;4;-1;48;0.752;0.0;0.684;1;1.604;practice;1
-5;1;0.0;-5;3.251;Left;0.801;-5;lctrl;5;1;48;0.751;0.0;0.628;3;1.604;practice;1
-5;1;0.0;-5;3.082;Left;0.806;5;lctrl;6;-1;48;0.756;0.0;0.453;1;1.608;practice;1
5;1;0.0;5;3.142;Right;0.802;5;rctrl;7;1;48;0.752;0.0;0.517;1;1.604;practice;1
5;1;0.0;5;2.452;Right;0.803;-5;rctrl;8;-1;3;0.752;0.0;0.579;1;0.852;practice;1
5;1;0.0;5;3.145;Right;0.802;5;rctrl;9;1;48;0.753;0.0;0.52;3;1.605;practice;1
-5;-1;0.0;5;3.109;Left;0.802;5;rctrl;10;1;48;0.752;0.0;0.461;5;1.604;practice;0
-5;-1;0.0;5;2.515;Left;0.806;5;lctrl;11;1;3;0.757;0.0;0.64;3;0.857;practice;1
-5;1;0.0;-5;3.128;Left;0.801;-5;lctrl;12;1;48;0.751;0.0;0.514;1;1.603;practice;1
5;-1;0.0;-5;3.174;Right;0.802;-5;rctrl;13;1;48;0.752;0.0;0.552;2;1.604;practice;1
5;-1;0.0;-5;2.482;Right;0.802;-5;rctrl;14;1;3;0.752;0.0;0.613;2;0.852;practice;1
-5;-1;0.0;5;3.032;Left;0.801;5;lctrl;15;1;48;0.751;0.0;0.401;3;1.604;practice;1
-5;-1;0.0;5;2.349;Left;0.801;-5;lctrl;16;-1;3;0.751;0.0;0.475;1;0.851;practice;1
5;-1;0.0;-5;3.254;Right;0.806;-5;rctrl;17;1;48;0.756;0.0;0.619;3;1.608;practice;1
5;1;0.0;5;2.458;Right;0.801;5;rctrl;18;1;3;0.751;0.0;0.595;4;0.851;practice;1
5;-1;0.0;-5;3.218;Right;0.802;-5;rctrl;19;1;48;0.751;0.0;0.597;0;1.604;practice;1
-5;1;0.0;-5;2.349;Left;0.802;5;lctrl;20;-1;3;0.752;0.0;0.484;1;0.852;practice;1
5;1;0.0;5;2.211;Right;0.802;5;rctrl;21;1;3;0.752;0.0;0.347;1;0.852;practice;1
-5;1;0.0;-5;3.003;Left;0.802;5;lctrl;22;-1;48;0.752;0.0;0.384;0;1.604;practice;1
5;1;0.0;5;3.055;Right;0.803;5;rctrl;23;1;48;0.753;0.0;0.422;0;1.61;practice;1
-5;1;0.0;-5;3.02;Left;0.801;-5;lctrl;24;1;48;0.751;0.0;0.397;0;1.604;practice;1
-5;1;0.0;-5;2.268;Left;0.801;-5;lctrl;25;1;3;0.751;0.0;0.391;4;0.852;practice;1
-5;-1;0.0;5;3.098;Left;0.801;5;lctrl;26;1;48;0.751;0.0;0.469;4;1.604;practice;1
5;-1;0.0;-5;2.333;Right;0.806;5;rctrl;27;-1;3;0.756;0.0;0.464;1;0.856;practice;1
-5;1;0.0;-5;3.223;Left;0.802;-5;lctrl;28;1;48;0.752;0.0;0.593;2;1.604;practice;1
-5;1;0.0;-5;2.316;Left;0.802;-5;lctrl;29;1;3;0.752;0.0;0.45;0;0.852;practice;1
5;1;0.0;5;2.289;Right;0.801;-5;rctrl;30;-1;3;0.751;0.0;0.419;0;0.851;practice;1
-5;-1;0.0;5;2.359;Left;0.802;-5;lctrl;31;-1;3;0.752;0.0;0.492;0;0.852;practice;1
-5;-1;0.0;5;3.095;Left;0.802;5;lctrl;32;1;48;0.752;0.0;0.475;1;1.604;practice;1
