targ_direction;stroop_cong;trial_start;targ_pos;total_time;target_name;soa_onset;cue_pos;response;trial_number;congruent;SOA;cue_onset;fix_onset;rt;repetition;targ_onset;condition;Accuracy
-5;1;0.0;-5;3.037;Left;0.802;-5;lctrl;1;1;48;0.752;0.0;0.406;5;1.608;practice;1
5;-1;0.0;-5;3.02;Right;0.801;-5;rctrl;2;1;48;0.751;0.0;0.414;1;1.604;practice;1
-5;1;0.0;-5;3.009;Left;0.802;-5;lctrl;3;1;48;0.752;0.0;0.401;2;1.604;practice;1
5;1;0.0;5;2.994;Right;0.802;5;rctrl;4;1;48;0.752;0.0;0.367;5;1.605;practice;1
-5;-1;0.0;5;3.0;Left;0.802;5;lctrl;5;1;48;0.752;0.0;0.378;4;1.604;practice;1
-5;1;0.0;-5;2.365;Left;0.806;-5;lctrl;6;1;3;0.756;0.0;0.488;4;0.856;practice;1
-5;1;0.0;-5;2.253;Left;0.802;-5;lctrl;7;1;3;0.752;0.0;0.383;5;0.851;practice;1
5;1;0.0;5;2.246;Right;0.803;5;rctrl;8;1;3;0.753;0.0;0.377;1;0.853;practice;1
-5;-1;0.0;5;2.427;Left;0.801;5;lctrl;9;1;3;0.751;0.0;0.557;5;0.851;practice;1
5;-1;0.0;-5;3.065;Right;0.802;-5;rctrl;10;1;48;0.754;0.0;0.437;4;1.608;practice;1
5;1;0.0;5;3.125;Right;0.802;5;rctrl;11;1;48;0.752;0.0;0.494;4;1.604;practice;1
5;1;0.0;5;2.365;Right;0.803;5;rctrl;12;1;3;0.752;0.0;0.49;2;0.852;practice;1
-5;1;0.0;-5;3.893;Left;0.801;5;lctrl;13;-1;48;0.751;0.0;1.271;0;1.604;practice;1
5;-1;0.0;-5;2.345;Right;0.801;-5;rctrl;14;1;3;0.751;0.0;0.479;1;0.852;practice;1
5;1;0.0;5;3.066;Right;0.802;5;rctrl;15;1;48;0.752;0.0;0.435;3;1.608;practice;1
5;1;0.0;5;3.049;Right;0.802;5;rctrl;16;1;48;0.752;0.0;0.427;0;1.605;practice;1
5;1;0.0;5;3.066;Right;0.802;-5;rctrl;17;-1;48;0.751;0.0;0.436;0;1.604;practice;1
5;-1;0.0;-5;3.406;Right;0.801;5;rctrl;18;-1;48;0.752;0.0;0.784;1;1.604;practice;1
-5;1;0.0;-5;3.215;Left;0.802;5;lctrl;19;-1;48;0.751;0.0;0.595;1;1.604;practice;1
5;-1;0.0;-5;2.364;Right;0.801;-5;rctrl;20;1;3;0.751;0.0;0.486;4;0.851;practice;1
5;1;0.0;5;2.33;Right;0.801;-5;rctrl;21;-1;3;0.752;0.0;0.463;1;0.852;practice;1
5;-1;0.0;-5;3.02;Right;0.801;-5;rctrl;22;1;48;0.751;0.0;0.4;5;1.602;practice;1
-5;-1;0.0;5;2.745;Left;0.803;5;lctrl;23;1;3;0.753;0.0;0.873;3;0.853;practice;1
5;1;0.0;5;2.519;Right;0.802;5;rctrl;24;1;3;0.752;0.0;0.636;3;0.857;practice;1
5;1;0.0;5;2.255;Right;0.801;-5;rctrl;25;-1;3;0.751;0.0;0.388;0;0.851;practice;1
-5;-1;0.0;5;3.06;Left;0.803;5;lctrl;26;1;48;0.752;0.0;0.43;1;1.605;practice;1
-5;-1;0.0;5;3.035;Left;0.801;5;lctrl;27;1;48;0.751;0.0;0.412;0;1.604;practice;1
5;1;0.0;5;2.676;Right;0.805;5;rctrl;28;1;3;0.755;0.0;0.782;4;0.856;practice;1
-5;1;0.0;-5;3.066;Left;0.806;-5;lctrl;29;1;48;0.756;0.0;0.443;1;1.608;practice;1
