targ_direction;stroop_cong;trial_start;targ_pos;total_time;target_name;soa_onset;cue_pos;response;trial_number;congruent;SOA;cue_onset;fix_onset;rt;repetition;targ_onset;condition;Accuracy
-5;-1;0.0;5;2.304;Left;0.802;5;lctrl;1;1;3;0.752;0.0;0.427;0;0.852;practice;1
5;1;0.0;5;2.458;Right;0.802;-5;lctrl;2;-1;3;0.752;0.0;0.564;0;0.853;practice;0
-5;1;0.0;-5;3.053;Left;0.806;-5;lctrl;3;1;48;0.756;0.0;0.418;1;1.609;practice;1
-5;-1;0.0;5;2.443;Left;0.801;-5;lctrl;4;-1;3;0.751;0.0;0.579;2;0.851;practice;1
5;-1;0.0;-5;3.032;Right;0.802;5;rctrl;5;-1;48;0.752;0.0;0.406;2;1.604;practice;1
5;1;0.0;5;2.318;Right;0.807;-5;rctrl;6;-1;3;0.757;0.0;0.434;3;0.857;practice;1
5;1;0.0;5;2.208;Right;0.801;5;rctrl;7;1;3;0.751;0.0;0.339;0;0.851;practice;1
5;1;0.0;5;3.032;Right;0.802;-5;rctrl;8;-1;48;0.752;0.0;0.399;3;1.605;practice;1
5;-1;0.0;-5;2.349;Right;0.802;5;rctrl;9;-1;3;0.752;0.0;0.469;0;0.857;practice;1
-5;1;0.0;-5;2.957;Left;0.803;5;lctrl;10;-1;48;0.752;0.0;0.326;1;1.604;practice;1
-5;-1;0.0;5;2.283;Left;0.802;-5;rctrl;11;-1;3;0.752;0.0;0.39;3;0.853;practice;0
-5;1;0.0;-5;2.239;Left;0.801;5;lctrl;12;-1;3;0.751;0.0;0.364;0;0.851;practice;1
5;-1;0.0;-5;2.333;Right;0.801;-5;rctrl;13;1;3;0.751;0.0;0.455;1;0.851;practice;1
-5;1;0.0;-5;2.286;Left;0.801;5;lctrl;14;-1;3;0.751;0.0;0.419;2;0.851;practice;1
5;1;0.0;5;2.278;Right;0.807;-5;rctrl;15;-1;3;0.757;0.0;0.407;2;0.857;practice;1
5;-1;0.0;-5;3.138;Right;0.803;-5;rctrl;16;1;48;0.752;0.0;0.512;3;1.605;practice;1
-5;-1;0.0;5;2.44;Left;0.802;5;lctrl;17;1;3;0.752;0.0;0.581;3;0.853;practice;1
5;-1;0.0;-5;3.201;Right;0.801;-5;rctrl;18;1;48;0.751;0.0;0.578;1;1.603;practice;1
5;1;0.0;5;2.255;Right;0.801;5;rctrl;19;1;3;0.751;0.0;0.381;3;0.857;practice;1
-5;1;0.0;-5;3.289;Left;0.803;5;lctrl;20;-1;48;0.753;0.0;0.664;0;1.605;practice;1
-5;1;0.0;-5;2.364;Left;0.804;-5;lctrl;21;1;3;0.754;0.0;0.493;0;0.855;practice;1
5;-1;0.0;-5;2.613;Right;0.801;5;rctrl;22;-1;3;0.751;0.0;0.741;1;0.851;practice;1
-5;1;0.0;-5;2.364;Left;0.801;5;lctrl;23;-1;3;0.751;0.0;0.497;3;0.851;practice;1
-5;-1;0.0;5;2.333;Left;0.801;-5;lctrl;24;-1;3;0.751;0.0;0.47;1;0.852;practice;1
-5;-1;0.0;5;2.273;Left;0.805;5;lctrl;25;1;3;0.755;0.0;0.401;2;0.855;practice;1
-5;1;0.0;-5;2.293;Left;0.803;5;lctrl;26;-1;3;0.753;0.0;0.418;1;0.853;practice;1
-5;1;0.0;-5;2.299;Left;0.802;-5;lctrl;27;1;3;0.752;0.0;0.42;2;0.852;practice;1
5;-1;0.0;-5;2.349;Right;0.801;5;rctrl;28;-1;3;0.751;0.0;0.47;3;0.857;practice;1
5;-1;0.0;-5;3.066;Right;0.802;5;rctrl;29;-1;48;0.752;0.0;0.438;1;1.605;practice;1
-5;-1;0.0;5;3.332;Left;0.801;-5;lctrl;30;-1;48;0.751;0.0;0.701;3;1.604;practice;1
5;1;0.0;5;2.255;Right;0.806;5;rctrl;31;1;3;0.756;0.0;0.383;1;0.856;practice;1
5;-1;0.0;-5;2.338;Right;0.803;5;rctrl;32;-1;3;0.753;0.0;0.481;2;0.853;practice;1
5;1;0.0;5;3.01;Right;0.802;5;rctrl;1;1;48;0.752;0.0;0.374;3;1.608;ex1;1
-5;-1;0.0;5;3.098;Left;0.802;-5;lctrl;2;-1;48;0.752;0.0;0.478;1;1.608;ex1;1
5;-1;0.0;-5;2.252;Right;0.802;-5;rctrl;3;1;3;0.752;0.0;0.374;1;0.852;ex1;1
-5;1;0.0;-5;3.051;Left;0.801;-5;lctrl;4;1;48;0.751;0.0;0.431;0;1.608;ex1;1
-5;1;0.0;-5;2.988;Left;0.801;-5;lctrl;5;1;48;0.751;0.0;0.37;3;1.603;ex1;1
-5;1;0.0;-5;2.278;Left;0.802;5;lctrl;6;-1;3;0.753;0.0;0.405;3;0.853;ex1;1
-5;1;0.0;-5;3.033;Left;0.802;5;lctrl;7;-1;48;0.752;0.0;0.407;1;1.604;ex1;1
5;-1;0.0;-5;3.017;Right;0.802;-5;lctrl;8;1;48;0.752;0.0;0.38;0;1.604;ex1;0
5;-1;0.0;-5;2.242;Right;0.802;5;rctrl;9;-1;3;0.752;0.0;0.376;2;0.852;ex1;1
5;1;0.0;5;2.284;Right;0.802;5;rctrl;10;1;3;0.752;0.0;0.411;3;0.852;ex1;1
-5;1;0.0;-5;3.032;Left;0.802;-5;lctrl;11;1;48;0.752;0.0;0.405;2;1.605;ex1;1
-5;1;0.0;-5;2.302;Left;0.801;5;lctrl;12;-1;3;0.751;0.0;0.416;1;0.851;ex1;1
5;1;0.0;5;2.206;Right;0.801;5;rctrl;13;1;3;0.751;0.0;0.337;2;0.851;ex1;1
-5;1;0.0;-5;2.218;Left;0.803;-5;lctrl;14;1;3;0.752;0.0;0.365;0;0.853;ex1;1
5;-1;0.0;-5;3.055;Right;0.803;-5;rctrl;15;1;48;0.753;0.0;0.425;3;1.604;ex1;1
-5;-1;0.0;5;2.411;Left;0.801;-5;lctrl;16;-1;3;0.751;0.0;0.548;0;0.851;ex1;1
5;1;0.0;5;2.91;Right;0.802;5;rctrl;17;1;3;0.752;0.0;1.041;1;0.852;ex1;1
5;1;0.0;5;2.19;Right;0.802;-5;rctrl;18;-1;3;0.752;0.0;0.321;3;0.853;ex1;1
-5;-1;0.0;5;2.187;Left;0.803;-5;rctrl;19;-1;3;0.752;0.0;0.31;2;0.853;ex1;0
5;-1;0.0;-5;2.309;Right;0.807;-5;rctrl;20;1;3;0.757;0.0;0.439;2;0.857;ex1;1
-5;1;0.0;-5;3.182;Left;0.803;5;lctrl;21;-1;48;0.753;0.0;0.559;2;1.605;ex1;1
5;1;0.0;5;3.004;Right;0.801;-5;rctrl;22;-1;48;0.751;0.0;0.378;1;1.604;ex1;1
-5;-1;0.0;5;2.38;Left;0.801;-5;lctrl;23;-1;3;0.751;0.0;0.512;1;0.851;ex1;1
-5;1;0.0;-5;2.24;Left;0.801;-5;lctrl;24;1;3;0.751;0.0;0.373;2;0.851;ex1;1
5;-1;0.0;-5;3.139;Right;0.803;5;rctrl;25;-1;48;0.752;0.0;0.512;2;1.605;ex1;1
