targ_direction;stroop_cong;trial_start;targ_pos;total_time;target_name;soa_onset;cue_pos;response;trial_number;congruent;SOA;cue_onset;fix_onset;rt;repetition;targ_onset;condition;Accuracy
-5;-1;0.0;5;2.382;Left;0.805;-5;lctrl;1;-1;3;0.755;0.0;0.514;3;0.855;practice;1
-5;1;0.0;-5;2.426;Left;0.802;5;rctrl;2;-1;3;0.752;0.0;0.529;1;0.852;practice;0
-5;-1;0.0;5;3.16;Left;0.802;5;lctrl;3;1;48;0.752;0.0;0.544;0;1.605;practice;1
5;-1;0.0;-5;2.548;Right;0.802;5;rctrl;4;-1;3;0.752;0.0;0.677;3;0.852;practice;1
-5;1;0.0;-5;2.302;Left;0.801;-5;lctrl;5;1;3;0.751;0.0;0.427;3;0.852;practice;1
-5;-1;0.0;5;3.035;Left;0.801;-5;lctrl;6;-1;48;0.751;0.0;0.406;2;1.604;practice;1
5;1;0.0;5;3.207;Right;0.801;5;rctrl;7;1;48;0.751;0.0;0.577;2;1.607;practice;1
5;-1;0.0;-5;3.098;Right;0.801;-5;rctrl;8;1;48;0.751;0.0;0.478;0;1.604;practice;1
5;-1;0.0;-5;3.004;Right;0.805;5;lctrl;9;-1;48;0.755;0.0;0.345;0;1.608;practice;0
5;1;0.0;5;2.974;Right;0.802;-5;rctrl;10;-1;48;0.752;0.0;0.333;2;1.603;practice;1
5;1;0.0;5;2.349;Right;0.801;5;rctrl;11;1;3;0.751;0.0;0.48;1;0.851;practice;1
-5;1;0.0;-5;3.02;Left;0.801;5;lctrl;12;-1;48;0.751;0.0;0.403;2;1.604;practice;1
5;1;0.0;5;2.307;Right;0.806;5;rctrl;13;1;3;0.756;0.0;0.434;3;0.856;practice;1
-5;-1;0.0;5;2.23;Left;0.801;-5;rctrl;14;-1;3;0.752;0.0;0.339;2;0.852;practice;0
5;1;0.0;5;2.551;Right;0.801;-5;rctrl;15;-1;3;0.751;0.0;0.686;2;0.852;practice;1
5;-1;0.0;-5;3.086;Right;0.802;5;rctrl;16;-1;48;0.752;0.0;0.463;1;1.609;practice;1
5;-1;0.0;-5;3.067;Right;0.801;-5;rctrl;17;1;48;0.751;0.0;0.439;1;1.604;practice;1
5;1;0.0;5;2.458;Right;0.801;-5;rctrl;18;-1;3;0.751;0.0;0.599;0;0.851;practice;1
-5;1;0.0;-5;2.392;Left;0.802;5;lctrl;19;-1;3;0.751;0.0;0.521;2;0.852;practice;1
5;1;0.0;5;2.283;Right;0.806;5;rctrl;20;1;3;0.756;0.0;0.403;0;0.857;practice;1
-5;-1;0.0;5;3.112;Left;0.802;5;lctrl;21;1;48;0.752;0.0;0.486;3;1.603;practice;1
-5;-1;0.0;5;2.988;Left;0.802;5;lctrl;22;1;48;0.752;0.0;0.357;2;1.604;practice;1
-5;-1;0.0;5;2.38;Left;0.802;-5;lctrl;23;-1;3;0.752;0.0;0.514;1;0.853;practice;1
-5;-1;0.0;5;2.271;Left;0.801;5;lctrl;24;1;3;0.751;0.0;0.392;1;0.851;practice;1
-5;1;0.0;-5;2.393;Left;0.801;-5;lctrl;25;1;3;0.751;0.0;0.528;0;0.852;practice;1
