targ_direction;stroop_cong;trial_start;targ_pos;total_time;target_name;soa_onset;cue_pos;response;trial_number;congruent;SOA;cue_onset;fix_onset;rt;repetition;targ_onset;condition;Accuracy
-5;-1;0.0;5;2.585;Left;0.802;5;lctrl;1;1;3;0.752;0.0;0.712;1;0.852;practice;1
-5;-1;0.0;5;2.318;Left;0.801;-5;lctrl;2;-1;3;0.751;0.0;0.465;3;0.851;practice;1
-5;1;0.0;-5;2.353;Left;0.803;5;lctrl;3;-1;3;0.753;0.0;0.488;1;0.853;practice;1
5;-1;0.0;-5;2.277;Right;0.802;5;lctrl;4;-1;3;0.752;0.0;0.383;0;0.852;practice;0
5;1;0.0;5;2.367;Right;0.802;-5;rctrl;5;-1;3;0.752;0.0;0.495;3;0.852;practice;1
5;1;0.0;5;3.051;Right;0.801;5;lctrl;6;1;48;0.751;0.0;0.404;0;1.608;practice;0
-5;-1;0.0;5;3.019;Left;0.801;5;lctrl;7;1;48;0.751;0.0;0.39;3;1.604;practice;1
-5;-1;0.0;5;3.082;Left;0.806;5;lctrl;8;1;48;0.756;0.0;0.432;1;1.608;practice;1
-5;-1;0.0;5;2.38;Left;0.801;5;lctrl;9;1;3;0.751;0.0;0.508;3;0.851;practice;1
5;-1;0.0;-5;2.988;Right;0.801;-5;rctrl;10;1;48;0.751;0.0;0.361;0;1.604;practice;1
-5;-1;0.0;5;3.034;Left;0.802;-5;lctrl;11;-1;48;0.752;0.0;0.411;1;1.605;practice;1
-5;-1;0.0;5;3.035;Left;0.801;-5;lctrl;12;-1;48;0.751;0.0;0.411;0;1.604;practice;1
5;-1;0.0;-5;2.38;Right;0.802;-5;rctrl;13;1;3;0.752;0.0;0.505;3;0.853;practice;1
5;1;0.0;5;2.255;Right;0.801;5;rctrl;14;1;3;0.751;0.0;0.391;2;0.851;practice;1
5;1;0.0;5;2.234;Right;0.802;5;rctrl;15;1;3;0.751;0.0;0.354;3;0.852;practice;1
-5;1;0.0;-5;3.098;Left;0.806;-5;lctrl;16;1;48;0.756;0.0;0.47;0;1.608;practice;1
-5;1;0.0;-5;2.267;Left;0.802;-5;lctrl;17;1;3;0.752;0.0;0.387;3;0.855;practice;1
-5;-1;0.0;5;2.318;Left;0.801;5;lctrl;18;1;3;0.751;0.0;0.445;2;0.851;practice;1
5;-1;0.0;-5;2.286;Right;0.801;5;rctrl;19;-1;3;0.751;0.0;0.409;1;0.851;practice;1
5;1;0.0;5;2.333;Right;0.806;-5;rctrl;20;-1;3;0.756;0.0;0.454;0;0.856;practice;1
5;-1;0.0;-5;3.02;Right;0.801;-5;rctrl;21;1;48;0.751;0.0;0.414;3;1.604;practice;1
5;-1;0.0;-5;3.055;Right;0.803;5;rctrl;22;-1;48;0.753;0.0;0.424;1;1.605;practice;1
-5;1;0.0;-5;2.505;Left;0.801;5;lctrl;23;-1;3;0.751;0.0;0.628;3;0.852;practice;1
5;-1;0.0;-5;2.973;Right;0.806;5;rctrl;24;-1;48;0.756;0.0;0.351;3;1.608;practice;1
-5;1;0.0;-5;3.116;Left;0.802;-5;lctrl;25;1;48;0.752;0.0;0.491;1;1.604;practice;1
